Data,Ultimo,Abertura,Maxima,Minima,Vol.,Var%
30102023,2004.9,2012.55,2016.7,2000.4,,-0.0039
29102023,2012.8,2015.9,2016.7,2007.35,,0.012
27102023,1989,1987.5,2009.8,1978.5,0.37K,0.0006
26102023,1987.9,1981.6,1992.5,1974.4,0.20K,0.0012
25102023,1985.5,1972,1988.8,1971,0.16K,0.0044
24102023,1976.8,1975.1,1980.3,1958.3,1.23K,-0.0007
23102023,1978.2,1977.9,1983.1,1963.6,0.45K,-0.0081
20102023,1994.4,1988,2009.2,1983.7,,0.007
19102023,1980.5,1960.1,1990.2,1957,264.82K,0.0062
18102023,1968.3,1936.7,1975.8,1935.9,270.05K,0.0168
17102023,1935.7,1933.3,1944.5,1924.6,165.06K,0.0007
16102023,1934.3,1941.3,1943,1921.2,182.82K,-0.0037
13102023,1941.5,1881.7,1946.2,1881.5,312.99K,0.0311
12102023,1883,1888.1,1898.3,1880.6,163.48K,-0.0023
11102023,1887.3,1873.7,1890.9,1871.7,169.96K,0.0064
10102023,1875.3,1875.4,1879.1,1866.1,157.34K,0.0059
9102023,1864.3,1861,1877.3,1857.5,187.80K,0.0104
6102023,1845.2,1834.3,1849,1823.5,231.02K,0.0073
5102023,1831.8,1837.6,1843.5,1826.2,172.46K,-0.0016
4102023,1834.8,1838.7,1846.8,1831.6,195.05K,-0.0036
3102023,1841.5,1844.9,1849.3,1830.9,216.78K,-0.0031
2102023,1847.2,1864.4,1864.7,1842.7,202.15K,-0.0101
29092023,1866.1,1882.3,1896.7,1862.3,245.13K,-0.0067
28092023,1878.6,1893.3,1896.8,1874.5,231.42K,-0.0065
27092023,1890.9,1918.8,1921.7,1890.3,238.53K,-0.0151
26092023,1919.8,1935.1,1935.5,1917.2,212.26K,-0.0087
25092023,1936.6,1944.7,1946.8,1933.8,164.26K,-0.0046
22092023,1945.6,1939.6,1949.1,1939.6,139.93K,0.0031
21092023,1939.6,1952,1952.2,1933.1,225.91K,-0.014
20092023,1967.1,1953,1968.9,1948.6,220.98K,0.0069
19092023,1953.7,1955.3,1958.9,1950.9,131.10K,0.0002
18092023,1953.4,1945.7,1955.7,1943.8,138.03K,0.0037
15092023,1946.2,1932.5,1952.4,1931.2,199.77K,0.0069
14092023,1932.8,1930.7,1934.5,1921.7,201.74K,0.0002
13092023,1932.5,1935.2,1938.4,1927.2,161.00K,-0.0013
12092023,1935.1,1945.6,1947.5,1929.9,161.99K,-0.0062
11092023,1947.2,1943.3,1954.6,1939.5,131.08K,0.0023
8092023,1942.7,1943.8,1954,1940.8,138.69K,0.0001
7092023,1942.5,1942.2,1947.9,1940.3,117.17K,-0.0009
6092023,1944.2,1951.5,1954.5,1940,148.78K,-0.0043
5092023,1952.6,1966.7,1972.6,1950.6,192.79K,-0.0054
4092023,1963.25,1966.6,1972.55,1962.55,,-0.0017
3092023,1966.65,1966.4,1967.05,1965.5,,-0.0002
1092023,1967.1,1966.4,1980.2,1960.7,160.73K,0.0006
31082023,1965.9,1970.2,1974.9,1965.5,133.71K,-0.0036
30082023,1973,1966,1977.1,1962.8,142.38K,0.004
29082023,1965.1,1948.1,1966.5,1941.7,174.22K,0.0094
28082023,1946.8,1944,1954.2,1940.1,115.55K,0.0036
25082023,1939.9,1944.9,1950.4,1931,166.99K,-0.0037
24082023,1947.1,1944.9,1951.3,1939.2,137.39K,-0.0005
23082023,1948.1,1926.8,1949.7,1926.2,170.04K,0.0115
22082023,1926,1924,1933.2,1917.5,131.09K,0.0016
21082023,1923,1918.4,1927.9,1913.6,138.11K,0.0034
18082023,1916.5,1919.2,1926,1915.9,114.74K,0.0007
17082023,1915.2,1922.4,1933.5,1914.2,152.33K,-0.0068
16082023,1928.3,1933.1,1938.2,1922,128.61K,-0.0036
15082023,1935.2,1939.4,1944.3,1927.5,167.15K,-0.0045
14082023,1944,1945.6,1948.2,1934.2,120.98K,-0.0013
