Data,Ultimo,Abertura,Maxima,Minima,Vol.,Var%
30102023,82.31,85,85.3,81.82,,-0.0265
29102023,84.55,85.14,85.18,83.77,,-0.0116
27102023,85.54,83.53,85.9,83.1,333.76K,0.028
26102023,83.21,85.37,85.59,82.56,341.79K,-0.0255
25102023,85.39,83.69,85.56,82.08,429.46K,0.0197
24102023,83.74,86.15,86.3,82.94,370.59K,-0.0205
23102023,85.49,88,88.29,85.35,315.52K,-0.0367
20102023,88.75,90.28,90.78,88.33,27.31K,-0.0069
19102023,89.37,88.24,90.68,86.6,72.06K,0.0119
18102023,88.32,87.81,89.88,87.2,92.80K,0.0192
17102023,86.66,87.06,87.75,85.6,197.12K,0
16102023,86.66,87.72,88.33,86.32,235.78K,-0.0117
13102023,87.69,83.51,87.83,83.35,356.86K,0.0577
12102023,82.91,83.2,85.2,82.31,373.49K,-0.0069
11102023,83.49,85.96,86.51,83.11,425.40K,-0.0288
10102023,85.97,86.43,86.74,85.12,337.65K,-0.0047
9102023,86.38,85.25,87.24,84.67,435.04K,0.0434
6102023,82.79,82.28,83.28,81.5,461.14K,0.0058
5102023,82.31,84.45,84.92,82.15,466.00K,-0.0227
4102023,84.22,89.42,89.59,84.16,460.00K,-0.0561
3102023,89.23,88.67,90.27,87.76,350.66K,0.0046
2102023,88.82,90.82,91.88,88.46,334.49K,-0.0217
29092023,90.79,91.76,93.1,90.35,355.78K,-0.01
28092023,91.71,93.78,95.03,91.39,406.71K,-0.021
27092023,93.68,90.53,94.17,90.4,504.63K,0.0364
26092023,90.39,89.88,90.74,88.19,318.02K,0.0079
25092023,89.68,90.55,90.83,89.03,328.37K,-0.0039
22092023,90.03,89.62,91.33,89.31,402.09K,0.0045
21092023,89.63,89.3,90.98,88.37,351.03K,-0.0072
20092023,90.28,91.55,91.98,89.87,35.99K,-0.0101
19092023,91.2,92.22,93.74,91.07,94.60K,-0.0031
18092023,91.48,91.2,92.43,90.75,119.26K,0.0078
15092023,90.77,90.67,91.23,89.22,315.00K,0.0068
14092023,90.16,88.81,90.79,88.68,325.27K,0.0185
13092023,88.52,88.75,89.64,88.29,345.97K,-0.0036
12092023,88.84,87.27,89.37,87.22,341.14K,0.0178
11092023,87.29,87.4,88.15,86.71,292.39K,-0.0025
8092023,87.51,86.78,87.95,86.15,294.44K,0.0074
7092023,86.87,87.54,87.74,86.39,270.74K,-0.0077
6092023,87.54,86.72,88.08,85.93,307.12K,0.0098
5092023,86.69,86.06,88.07,85.02,452.91K,0.0101
4092023,85.82,85.85,86.14,85.28,,-0.0003
3092023,85.85,86.06,86.06,85.73,,0.0035
1092023,85.55,83.63,86.06,83.46,420.46K,0.023
31082023,83.63,81.7,83.69,81.48,368.85K,0.0245
30082023,81.63,81.29,82.05,80.88,299.42K,0.0058
29082023,81.16,79.98,81.41,79.34,284.17K,0.0132
28082023,80.1,80.15,80.87,79.61,246.58K,0.0034
25082023,79.83,78.88,80.45,78.14,411.41K,0.0099
24082023,79.05,78.57,79.28,77.59,349.23K,0.002
23082023,78.89,79.64,79.91,77.62,378.15K,-0.0182
22082023,80.35,80.8,80.99,80.1,21.69K,-0.0046
21082023,80.72,81.43,82.47,80.61,115.87K,-0.0065
18082023,81.25,80.04,81.61,79.59,128.09K,0.0107
17082023,80.39,79.25,81.08,78.95,235.58K,0.0127
16082023,79.38,81.23,81.43,79.05,325.40K,-0.0199
15082023,80.99,82.52,82.91,80.4,303.21K,-0.0184
14082023,82.51,83.09,83.2,81.76,277.35K,-0.0082
11082023,83.19,82.83,83.81,82.23,331.25K,0.0045
10082023,82.82,84.25,84.89,82.58,362.19K,-0.0187
9082023,84.4,82.88,84.65,82.67,478.14K,0.0178
